epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4781,1.2487,3.18473,1.38989,0.45854,0.52473,0.47643,0.3059,1.21978,2.42088,1.29814,0.000472882,0.000472882,0.000472882
2,121.529,1.27821,2.35982,1.36223,0.5454,0.51664,0.51882,0.30072,1.49264,2.51159,1.51029,0.000930421,0.000930421,0.000930421
3,182.167,1.32382,2.02127,1.36847,0.49793,0.41659,0.43509,0.27967,1.40232,2.0557,1.5219,0.0013691,0.0013691,0.0013691
4,240.973,1.32285,1.7667,1.38663,0.64873,0.61023,0.65446,0.4048,1.36047,1.59752,1.38675,0.00134412,0.00134412,0.00134412
5,274.797,1.24245,1.58537,1.31446,0.78208,0.69934,0.75626,0.51568,1.18827,1.26775,1.25542,0.00131582,0.00131582,0.00131582
6,324.166,1.22628,1.43484,1.29964,0.76955,0.67827,0.76009,0.52626,1.10615,1.40419,1.20064,0.00128753,0.00128753,0.00128753
7,368.371,1.17943,1.30835,1.27648,0.78206,0.73815,0.79168,0.56003,1.08834,1.19295,1.21016,0.00125923,0.00125923,0.00125923
8,411.129,1.16835,1.27059,1.27397,0.83358,0.7604,0.82164,0.58832,1.10009,1.06052,1.23573,0.00123094,0.00123094,0.00123094
9,441.642,1.12197,1.19642,1.24682,0.8539,0.81391,0.87289,0.62229,1.07387,0.94061,1.18135,0.00120265,0.00120265,0.00120265
10,482.235,1.11202,1.15301,1.23421,0.81587,0.77957,0.84042,0.58787,1.0629,1.05231,1.15521,0.00117435,0.00117435,0.00117435
11,511.033,1.09042,1.14984,1.22496,0.84424,0.78545,0.85597,0.60476,1.10378,0.9582,1.18107,0.00114606,0.00114606,0.00114606
12,543.088,1.11455,1.09102,1.23539,0.85418,0.79193,0.85564,0.60454,1.08099,0.96648,1.19152,0.00111776,0.00111776,0.00111776
13,571.513,1.05191,1.03364,1.20626,0.82427,0.85813,0.88422,0.65751,0.9781,0.87771,1.13381,0.00108947,0.00108947,0.00108947
14,628.279,1.01896,0.97317,1.18416,0.83629,0.81417,0.85073,0.63056,0.98881,0.87601,1.11668,0.00106118,0.00106118,0.00106118
15,676.877,1.03323,0.96705,1.20185,0.86605,0.81487,0.86549,0.62539,1.03233,0.87467,1.14805,0.00103288,0.00103288,0.00103288
16,724.322,1.00664,0.93449,1.17822,0.86679,0.83783,0.89241,0.67137,0.98163,0.79005,1.13199,0.00100459,0.00100459,0.00100459
17,783.41,0.98414,0.92182,1.16756,0.87893,0.79142,0.86962,0.61649,1.07104,0.88003,1.16714,0.000976293,0.000976293,0.000976293
18,842.046,0.98115,0.89868,1.16112,0.91144,0.84471,0.9033,0.67272,0.9872,0.77222,1.12007,0.000947999,0.000947999,0.000947999
19,901.178,0.9681,0.861,1.15016,0.8776,0.85377,0.90257,0.68203,0.93456,0.77337,1.10353,0.000919704,0.000919704,0.000919704
20,960.577,0.96025,0.84967,1.15194,0.91839,0.84891,0.92089,0.68721,0.95759,0.73838,1.09786,0.00089141,0.00089141,0.00089141
21,1017.71,0.95038,0.84785,1.15852,0.88238,0.85754,0.91294,0.68182,0.94129,0.73734,1.09913,0.000863116,0.000863116,0.000863116
22,1077.99,0.94165,0.7975,1.14717,0.8996,0.87267,0.91453,0.69671,0.93533,0.71502,1.09874,0.000834822,0.000834822,0.000834822
23,1137.7,0.93585,0.80639,1.13058,0.90886,0.87542,0.92591,0.71255,0.92127,0.69667,1.09158,0.000806528,0.000806528,0.000806528
24,1195.34,0.92857,0.79555,1.12471,0.89465,0.89359,0.92819,0.71826,0.94133,0.66002,1.08962,0.000778233,0.000778233,0.000778233
25,1244.48,0.89002,0.7523,1.11586,0.91192,0.89832,0.92856,0.71217,0.913,0.66553,1.08115,0.000749939,0.000749939,0.000749939
26,1293.86,0.89953,0.7488,1.11047,0.93035,0.8897,0.93258,0.72025,0.89812,0.62386,1.0681,0.000721645,0.000721645,0.000721645
27,1352.75,0.91897,0.77761,1.12655,0.92219,0.90151,0.9297,0.72127,0.90956,0.62424,1.0907,0.000693351,0.000693351,0.000693351
28,1411.44,0.88303,0.72862,1.10668,0.91193,0.88074,0.93034,0.72164,0.89683,0.65084,1.06937,0.000665057,0.000665057,0.000665057
