epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4073,1.11158,4.33331,1.43391,0.03247,0.86089,0.14401,0.10902,0.90814,3.25049,1.27068,0.000126645,0.000126645,0.000126645
2,79.4062,0.97892,3.28272,1.34704,0.32997,0.46688,0.39213,0.29104,1.01872,2.22515,1.43514,0.00024993,0.00024993,0.00024993
3,115.743,0.96701,2.81989,1.32117,0.41468,0.65032,0.54469,0.41593,0.95047,1.7706,1.33233,0.000368132,0.000368132,0.000368132
4,150.103,0.95083,2.50852,1.30149,0.51889,0.67249,0.63669,0.47591,1.0303,1.67432,1.51341,0.000362131,0.000362131,0.000362131
5,177.024,0.91328,2.28719,1.27006,0.5818,0.70643,0.68529,0.53471,0.93026,1.58998,1.35074,0.000354508,0.000354508,0.000354508
6,210.211,0.89812,2.19035,1.25613,0.65822,0.69018,0.75844,0.59252,0.90521,1.37184,1.33218,0.000346885,0.000346885,0.000346885
7,248.021,0.86737,2.00121,1.22413,0.78279,0.78949,0.84457,0.6697,0.8654,1.1312,1.25684,0.000339262,0.000339262,0.000339262
8,275.678,0.86244,1.83625,1.22001,0.79913,0.83461,0.88695,0.72538,0.80441,1.03918,1.202,0.000331639,0.000331639,0.000331639
9,312.449,0.86053,1.76973,1.21439,0.82772,0.79641,0.89099,0.72199,0.82514,1.10116,1.20722,0.000324016,0.000324016,0.000324016
10,349.37,0.83602,1.6211,1.1844,0.90039,0.83743,0.91345,0.73254,0.83193,0.92018,1.20634,0.000316393,0.000316393,0.000316393
11,386.351,0.8353,1.58413,1.17029,0.89057,0.82136,0.91801,0.74518,0.81178,0.94349,1.21241,0.00030877,0.00030877,0.00030877
12,422.833,0.82232,1.48686,1.17069,0.91307,0.85736,0.94498,0.77613,0.765,0.81277,1.15755,0.000301147,0.000301147,0.000301147
13,457.517,0.79743,1.45904,1.15281,0.87106,0.87315,0.93665,0.75203,0.8291,0.8452,1.22414,0.000293524,0.000293524,0.000293524
14,493.446,0.76952,1.39615,1.14405,0.88997,0.89609,0.94827,0.76924,0.79589,0.8186,1.20202,0.000285901,0.000285901,0.000285901
15,530.862,0.76552,1.30776,1.14083,0.91159,0.87622,0.94554,0.76061,0.80206,0.8056,1.21187,0.000278278,0.000278278,0.000278278
16,569.946,0.76935,1.30583,1.13499,0.90889,0.89636,0.96726,0.77777,0.79072,0.74066,1.18399,0.000270655,0.000270655,0.000270655
17,609.221,0.74011,1.26513,1.12745,0.94911,0.90667,0.96991,0.78319,0.82203,0.70214,1.2096,0.000263032,0.000263032,0.000263032
18,648.505,0.75231,1.2186,1.12729,0.94389,0.90293,0.9667,0.78621,0.78537,0.71415,1.16439,0.000255409,0.000255409,0.000255409
19,686.881,0.73465,1.17706,1.11437,0.95377,0.89771,0.9699,0.78263,0.79088,0.69009,1.17838,0.000247786,0.000247786,0.000247786
20,724.402,0.72116,1.13238,1.11057,0.94839,0.94035,0.97563,0.79504,0.79328,0.63947,1.16884,0.000240163,0.000240163,0.000240163
21,762.425,0.71403,1.12348,1.1017,0.94106,0.91453,0.96697,0.78688,0.77411,0.69999,1.16625,0.00023254,0.00023254,0.00023254
22,799.923,0.74661,1.11036,1.11572,0.93958,0.93105,0.96926,0.7866,0.77678,0.65256,1.16674,0.000224917,0.000224917,0.000224917
23,837.327,0.7006,1.04215,1.09621,0.92566,0.95128,0.98047,0.79732,0.78006,0.64382,1.18213,0.000217294,0.000217294,0.000217294
24,858.34,0.7165,1.05676,1.10037,0.93215,0.93287,0.97016,0.79703,0.76809,0.63898,1.14953,0.000209671,0.000209671,0.000209671
25,889.564,0.70776,1.02435,1.08936,0.94233,0.95153,0.98595,0.805,0.77008,0.59711,1.16287,0.000202048,0.000202048,0.000202048
26,925.255,0.69175,0.9753,1.08201,0.95616,0.93356,0.98432,0.79842,0.78177,0.58477,1.16375,0.000194425,0.000194425,0.000194425
27,960.889,0.68113,0.96222,1.07813,0.95687,0.93838,0.98614,0.80636,0.77769,0.57667,1.15181,0.000186802,0.000186802,0.000186802
28,993.466,0.66901,0.93034,1.07181,0.97061,0.94484,0.98658,0.81359,0.76153,0.53913,1.14399,0.000179179,0.000179179,0.000179179
29,1031.34,0.68591,0.94511,1.07463,0.96114,0.94637,0.98147,0.80671,0.75601,0.55778,1.14639,0.000171556,0.000171556,0.000171556
30,1069.69,0.65853,0.87362,1.05562,0.97161,0.93826,0.98035,0.79992,0.77089,0.55032,1.16017,0.000163933,0.000163933,0.000163933
31,1108.8,0.66381,0.88981,1.06046,0.96662,0.968,0.98498,0.80784,0.73998,0.53351,1.13193,0.00015631,0.00015631,0.00015631
32,1146.49,0.65031,0.87927,1.05263,0.94207,0.96507,0.98266,0.80042,0.77245,0.55098,1.1631,0.000148687,0.000148687,0.000148687
33,1181.75,0.64176,0.84495,1.04855,0.96597,0.96738,0.98842,0.81597,0.738,0.50975,1.1339,0.000141064,0.000141064,0.000141064
34,1219.9,0.65098,0.83719,1.05244,0.95799,0.9576,0.98176,0.81184,0.76422,0.50045,1.14943,0.000133441,0.000133441,0.000133441
35,1255.79,0.63162,0.80061,1.0422,0.96341,0.95976,0.98069,0.81019,0.76257,0.50803,1.15563,0.000125818,0.000125818,0.000125818
36,1291.32,0.64151,0.82391,1.04757,0.95913,0.96817,0.98955,0.81127,0.75608,0.49858,1.15266,0.000118195,0.000118195,0.000118195
37,1327.97,0.61343,0.78982,1.02619,0.97047,0.96498,0.99044,0.81703,0.74569,0.47594,1.14263,0.000110572,0.000110572,0.000110572
38,1364.08,0.61815,0.78253,1.03397,0.96149,0.95468,0.98008,0.80941,0.76052,0.5044,1.16377,0.000102949,0.000102949,0.000102949
39,1397.24,0.60966,0.77168,1.02425,0.97517,0.97178,0.98857,0.80674,0.76506,0.49014,1.16861,9.5326e-05,9.5326e-05,9.5326e-05
40,1427.5,0.60824,0.7584,1.02913,0.97082,0.96227,0.98881,0.81261,0.76511,0.48289,1.16658,8.7703e-05,8.7703e-05,8.7703e-05
41,1540.2,0.53993,0.7029,0.99237,0.96873,0.94842,0.98401,0.80924,0.75296,0.51526,1.15005,8.008e-05,8.008e-05,8.008e-05
42,1579.36,0.52542,0.65072,0.98152,0.96421,0.96162,0.98701,0.81272,0.76019,0.49516,1.15471,7.2457e-05,7.2457e-05,7.2457e-05
43,1617.29,0.51912,0.63702,0.98161,0.95743,0.9783,0.98883,0.81595,0.74543,0.47157,1.1384,6.4834e-05,6.4834e-05,6.4834e-05
44,1655.48,0.52086,0.61927,0.99178,0.97505,0.96023,0.9889,0.81554,0.74267,0.47089,1.13355,5.7211e-05,5.7211e-05,5.7211e-05
45,1693.98,0.51325,0.60351,0.96739,0.97101,0.96646,0.98654,0.81428,0.7442,0.47325,1.14109,4.9588e-05,4.9588e-05,4.9588e-05
46,1731.85,0.49157,0.59439,0.96437,0.96935,0.972,0.98789,0.81743,0.73762,0.47171,1.14476,4.1965e-05,4.1965e-05,4.1965e-05
47,1769.13,0.49303,0.58144,0.95901,0.9679,0.97967,0.9895,0.81421,0.74538,0.46185,1.1449,3.4342e-05,3.4342e-05,3.4342e-05
48,1806.28,0.47947,0.57428,0.95272,0.97986,0.96886,0.99021,0.82189,0.73485,0.45898,1.14297,2.6719e-05,2.6719e-05,2.6719e-05
49,1843.22,0.47827,0.57251,0.95176,0.97812,0.97067,0.98963,0.82057,0.72911,0.45766,1.13748,1.9096e-05,1.9096e-05,1.9096e-05
50,1879.2,0.48217,0.56341,0.94772,0.9816,0.97048,0.98924,0.82057,0.7285,0.45348,1.14074,1.1473e-05,1.1473e-05,1.1473e-05
